실제_폴더,파일,최고_후보,확률,상자_화면비율,x1,y1,x2,y2
락앤락,retest_data\container_dataset 락앤락\락앤락 (1).jpg,plastic tub,0.029795855283737183,0.8856345353376491,0.00524139404296875,27.443069458007812,240.0,240.0
락앤락,retest_data\container_dataset 락앤락\락앤락 (2).jpg,plastic tub,0.22631414234638214,0.8456571578979493,0.0,37.04228210449219,240.0,240.0
락앤락,retest_data\container_dataset 락앤락\락앤락 (3).jpg,plastic bowl,0.09131323546171188,0.5179071104836708,0.0,36.0910530090332,212.6175079345703,176.39675903320312
락앤락,retest_data\container_dataset 락앤락\락앤락 (4).jpg,plastic tub,0.09249719977378845,0.48792120015886215,0.0,37.84724807739258,201.60923767089844,177.24691772460938
락앤락,retest_data\container_dataset 락앤락\락앤락 (5).jpg,plastic tub,0.112477608025074,0.8207555653968303,0.014739990234375,37.15800476074219,233.5098876953125,239.62696838378906
락앤락,retest_data\container_dataset 락앤락\락앤락 (6).jpg,plastic tub,0.04139864444732666,0.9030939368730105,0.0308074951171875,23.229629516601562,240.0,240.0
락앤락,retest_data\container_dataset 락앤락\락앤락 (7).jpg,plastic tub,0.3330276906490326,0.9083582180002122,0.089813232421875,21.894515991210938,240.0,239.9821014404297
락앤락,retest_data\container_dataset 락앤락\락앤락 (8).jpg,plastic tub,0.0963684692978859,0.588590567354704,40.73815155029297,24.205055236816406,240.0,194.3470916748047
락앤락,retest_data\container_dataset 락앤락\락앤락 (9).jpg,plastic bowl,0.050827011466026306,0.41421318045545985,102.54624938964844,31.542463302612305,239.8820343017578,205.26760864257812
락앤락,retest_data\container_dataset 락앤락\락앤락 (10).jpg,plastic bowl,0.05450953170657158,0.4634938150459129,67.08826446533203,40.24969482421875,240.0,194.64779663085938
락앤락,retest_data\container_dataset 락앤락\락앤락 (11).jpg,plastic tub,0.09320350736379623,0.5518455040567278,7.61663818359375,34.00422286987305,240.0,170.78811645507812
락앤락,retest_data\container_dataset 락앤락\락앤락 (12).jpg,plastic tub,0.013522349298000336,0.9843257586161296,0.0,3.1893081665039062,240.0,239.427490234375
락앤락,retest_data\container_dataset 락앤락\락앤락 (13).jpg,plastic tub,0.07541647553443909,0.8446019549411722,0.037353515625,37.26397705078125,240.0,240.0
락앤락,retest_data\container_dataset 락앤락\락앤락 (14).jpg,food storage box,0.022719377651810646,0.815069589111669,27.289901733398438,10.637992858886719,240.0,231.35157775878906
락앤락,retest_data\container_dataset 락앤락\락앤락 (15).jpg,plastic bowl,0.0174709465354681,0.5000742493307735,118.32124328613281,0.47898101806640625,239.99221801757812,237.21807861328125
락앤락,retest_data\container_dataset 락앤락\락앤락 (16).jpg,plastic box,0.06814160197973251,0.9999258995056153,0.01778411865234375,0.0,240.0,240.0
락앤락,retest_data\container_dataset 락앤락\락앤락 (17).jpg,plastic bowl,0.023110516369342804,0.6390287345412798,83.82083129882812,0.0574493408203125,240.0,235.73583984375
락앤락,retest_data\container_dataset 락앤락\락앤락 (18).jpg,bottle,0.03762898966670036,0.588227050565656,97.06670379638672,0.0,240.0,237.04678344726562
락앤락,retest_data\container_dataset 락앤락\락앤락 (19).jpg,food storage box,0.06855880469083786,0.9992661390365538,0.0,0.0,239.83181762695312,239.99205017089844
락앤락,retest_data\container_dataset 락앤락\락앤락 (20).jpg,food storage box,0.07942064106464386,0.9994096048191325,0.0,0.0,239.8870391845703,239.97125244140625
